"zip","city","county","pop"
"91007","Arcadia","Los Angeles","34116"
"91321","Newhall","Los Angeles","34014"
"92551","Moreno Valley","Riverside","34011"
"91773","San Dimas","Los Angeles","34007"
"95348","Merced","Merced","34002"
"93555","Ridgecrest","Kern","33833"
"93060","Santa Paula","Ventura","33773"
"92841","Garden Grove","Orange","33754"
"92595","Wildomar","Riverside","33649"
"91754","Monterey Park","Los Angeles","33636"
"92881","Corona","Riverside","33531"
"92220","Banning","Riverside","33525"
"95842","Sacramento","Sacramento","33522"
"91915","Chula Vista","San Diego","33485"
"93422","Atascadero","San Luis Obispo","33466"
"95901","Marysville","Yuba","33455"
"92311","Barstow","San Bernardino","33454"
"93710","Fresno","Fresno","33448"
"90504","Torrance","Los Angeles","33410"
"92116","San Diego","San Diego","33408"
"91791","West Covina","Los Angeles","33397"
"92373","Redlands","San Bernardino","33353"
"92612","Irvine","Orange","33234"
"90222","Compton","Los Angeles","33200"
"91423","Sherman Oaks","Los Angeles","33172"
"94526","Danville","Contra Costa","33135"
"95341","Merced","Merced","33090"
"90606","Whittier","Los Angeles","32987"
"91006","Arcadia","Los Angeles","32958"
"91604","Studio City","Los Angeles","32910"
"93703","Fresno","Fresno","32754"
"94545","Hayward","Alameda","32724"
"91351","Canyon Country","Los Angeles","32711"
"92583","San Jacinto","Riverside","32697"
"90230","Culver City","Los Angeles","32687"
"92679","Trabuco Canyon","Orange","32657"
"95356","Modesto","Stanislaus","32622"
"92124","San Diego","San Diego","32600"
"91354","Valencia","Los Angeles","32544"
"95358","Modesto","Stanislaus","32524"
"91107","Pasadena","Los Angeles","32503"
"92123","San Diego","San Diego","32473"
"95118","San Jose","Santa Clara","32421"
"93001","Ventura","Ventura","32396"
"92596","Winchester","Riverside","32256"
"93940","Monterey","Monterey","32236"
"90807","Long Beach","Los Angeles","32202"
"95662","Orangevale","Sacramento","32172"
"90803","Long Beach","Los Angeles","32126"
"95377","Tracy","San Joaquin","32091"
"90601","Whittier","Los Angeles","32053"
"94941","Mill Valley","Marin","32009"
"94610","Oakland","Alameda","31936"
"91941","La Mesa","San Diego","31918"
"95632","Galt","Sacramento","31911"
"90008","Los Angeles","Los Angeles","31754"
"91303","Canoga Park","Los Angeles","31586"
